Symbols,Companies
AXP,American Express
AMGN,Amgen
AAPL,Apple
BA,Boeing
CAT,Caterpillar
CSCO,Cisco Systems
CVX,Chevron
GS,Goldman Sachs Group
HD,Home Depot
HON,Honeywell International
IBM,International Business Machines
INTC,Intel
JNJ,Johnson & Johnson
KO,Coca-Cola
JPM,JPMorgan Chase & Co
MCD,McDonald’s
MMM,3M
MRK,Merck & Co
MSFT,Microsoft
NKE,Nike
PG,Procter & Gamble
TRV,Travelers Companies
UNH,UnitedHealth Group
CRM,Salesforce
VZ,Verizon Communications
V,Visa
WBA,Walgreens Boots Alliance
WMT,Walmart
DIS,Walt Disney
DOW,Dow
